KinoSat_110908	2393.1	2783.13	0.5	0.03125	500					
KinoSat_110909	2415.34	2807.56	0.5	0.03125	500					
KinoSat_110910	2363.93	2759.17	0.5	0.03125	500					
KinoSat_111001	2379.34	2777.41	0.5	0.03125	500					
KinoSat_111002	2429.21	2827.64	0.5	0.03125	500					
KinoSat_111003	2431.92	2829.49	0.5	0.03125	500					
KinoSat_111004	2442.31	2831.57	0.5	0.03125	500					
KinoSat_111005	2472.25	2858.65	0.5	0.03125	500					
KinoSat_111006	2442.34	2831.49	0.5	0.03125	500					
KinoSat_111007	2445.19	2837.6	0.5	0.03125	500					
KinoSat_111008	2445.8	2838.73	0.5	0.03125	500					
KinoSat_111009	2476.87	2871	0.5	0.03125	500					
KinoSat_111010	2412.91	2809.82	0.5	0.03125	500					
KinoSat_111101	2390.62	2787.28	0.5	0.03125	500					
KinoSat_111102	2459.19	2854.48	0.5	0.03125	500					
KinoSat_111103	2457.84	2854.17	0.5	0.03125	500					
KinoSat_111104	2487.63	2876.62	0.5	0.03125	500					
KinoSat_111105	2500.66	2888.6	0.5	0.03125	500					
KinoSat_111106	2423.3	2814.91	0.5	0.03125	500					
KinoSat_111107	2449.72	2841.4	0.5	0.03125	500					
KinoSat_111108	2416.75	2810.44	0.5	0.03125	500					
KinoSat_111109	2406.17	2801.23	0.5	0.03125	500					
KinoSat_111110	2427.1	2822.72	0.5	0.03125	500					
KinoSat_111201	2473.15	2869.15	0.5	0.03125	500					
KinoSat_111202	2495.81	2893.61	0.5	0.03125	500					
KinoSat_111203	2482.96	2875.24	0.5	0.03125	500					
KinoSat_111204	2455.25	2845.54	0.5	0.03125	500					
KinoSat_111205	2457.69	2847.59	0.5	0.03125	500					
KinoSat_111206	2481.89	2873.98	0.5	0.03125	500					
KinoSat_111207	2450.95	2844.26	0.5	0.03125	500					
KinoSat_111208	2466.89	2861.47	0.5	0.03125	500					
KinoSat_111209	2452.79	2848.15	0.5	0.03125	500					
KinoSat_111210	2484.49	2882.68	0.5	0.03125	500					
KinoSat_111301	2525.94	2926.17	0.5	0.03125	500					
KinoSat_111302	2533.41	2931.11	0.5	0.03125	500					
KinoSat_111303	2498.82	2889.58	0.5	0.03125	500					
KinoSat_111304	2514.04	2904.31	0.5	0.03125	500					
KinoSat_111305	2488.76	2876.17	0.5	0.03125	500					
KinoSat_111306	2548.47	2940.65	0.5	0.03125	500					
